Time,Price
831,278.74
832,279.74
833,261.12
834,265.48
835,264.34
836,270.6
837,266.18
838,264.13
839,265.53
840,261.87
841,258.49
842,257.93
843,225.67
844,226.9
845,235.35
846,232.66
847,230.38
848,228.11
849,210.07
850,222.08
851,226.05
852,224.7
853,231.55
854,229.9
855,229.11
856,230.26
857,228.03
858,229.32
859,227.21
860,230.2
861,234.87
862,239.93
863,239.85
864,243.41
865,238.34
866,238.33
867,239.85
868,235.24
869,230.61
870,230.49
871,230.25
872,229.08
873,233.52
874,232.86
875,231.4
876,231.22
877,226.97
878,230.94
879,230.36
880,234.36
881,235.08
882,234.14
883,232.84
884,239.02
885,236.64
886,236
887,237.26
888,237.2
889,238.53
890,238.15
891,240.36
892,246.17
893,243.07
894,242.5
895,243.74
896,244.74
897,246.88
898,245.2
899,249.49
900,252.11
901,254.3
902,262.75
903,270.91
904,261.86
905,263.57
906,269.31
907,266.5
908,273.65
909,276.5
910,281.45
911,283.63
912,285.18
913,293.7
914,304.32
915,313.94
916,328.51
917,315.01
918,325.94
919,361.87
920,403.66
921,408.08
922,388.05
923,374.27
924,384.28
925,374.32
926,379.98
927,339.82
928,314.08
929,338.5
930,336.62
931,333.05
932,319.73
933,330.36
934,334.59
935,334.68
936,326.41
937,322.09
938,326.98
939,324.35
940,323.01
941,320.05
942,328.3
943,351.86
944,357.14
945,357.47
946,371.44
947,377.41
948,361.85
949,359.33
950,361.26
951,363.72
952,389.55
953,389.98
954,395.75
955,414.44
956,417.99
957,415.28
958,452.33
959,431.66
960,433.27
961,443.88
962,465.21
963,454.78
964,455.85
965,463.55
966,462.23
967,442.84
968,437.44
969,436.72
970,443.09
971,454.86
972,455.76
973,416.51
974,423.34
975,422.1
976,433.3
977,425.88
978,430.72
979,434.62
980,433.58
981,430.06
982,433.07
983,431.86
984,430.01
985,457.54
986,453.38
987,448.24
988,448.7
989,448.18
990,434.67
991,432.29
992,430.26
993,365.07
994,387.15
995,381.73
996,387.03
997,379.74
998,419.63
999,409.75
1000,382.43
1001,388.1
1002,402.32
1003,392
1004,392.44
1005,395.15
1006,380.11
1007,378.86
1008,378.29
1009,369.35
1010,372.92
1011,374.65
1012,370.17
1013,388.9
1014,386.59
1015,376.51
1016,376.76
1017,373.42
1018,376.15
1019,382.11
1020,379.69
1021,384.64
1022,392.93
1023,407.57
1024,401.43
1025,407.66
1026,416.57
1027,422.73
1028,421.6
1029,437.77
1030,438.99
1031,438.26
1032,420.96
1033,425.04
1034,424.63
1035,432.84
1036,432.57
1037,433.44
1038,437.92
1039,435.13
1040,423.91
1041,421.84
1042,410.78
1043,400.52
1044,407.76
1045,414.46
1046,413.89
1047,414.74
1048,417.24
1049,421.61
1050,411.65
1051,414.2
1052,416.39
1053,416.89
1054,417.89
1055,420.55
1056,409.27
1057,410.4
1058,413.42
1059,413.13
1060,418.16
1061,418.42
1062,416.51
1063,417.36
1064,418.14
1065,426.55
1066,424.3
1067,416.83
1068,415.26
1069,416.76
1070,418.42
1071,421.17
1072,421.3
1073,421.02
1074,424.28
1075,423.62
1076,422.91
1077,420.81
1078,419.59
1079,421.87
1080,422.84
1081,425.63
1082,423.93
1083,424.43
1084,429.58
1085,430.64
1086,427.61
1087,428.7
1088,435.32
1089,441.42
1090,449.69
1091,445.86
1092,450.56
1093,459.12
1094,461.65
1095,466.26
1096,445.04
1097,449.41
1098,455.18
1099,448.48
1100,451.93
1101,444.73
1102,450.18
1103,446.71
1104,447.94
1105,459.64
1106,458.43
1107,458.21
1108,460.52
1109,450.86
1110,452.45
1111,454.85
1112,455.82
1113,455.76
1114,457.59
1115,454.01
1116,453.69
1117,454.52
1118,437.79
1119,442.97
1120,443.22
1121,439.35
1122,444.29
1123,446.06
1124,449.67
1125,453.52
1126,473.03
1127,527.48
1128,528.47
1129,534.19
1130,531.11
1131,536.52
1132,537.68
1133,569.71
1134,573.31
1135,574.6
1136,585.45
1137,577.17
1138,582.2
1139,575.84
1140,578.67
1141,609.68
1142,671.65
1143,704.5
1144,685.68
1145,696.52
1146,768.49
1147,748.76
1148,756.69
1149,763.93
1150,735.88
1151,665.91
1152,597.44
1153,625.58
1154,665.28
1155,665.93
1156,629.35
1157,658.1
1158,644.12
1159,640.59
1160,672.52
1161,676.73
1162,704.97
1163,658.8
1164,683.21
1165,670.42
1166,678.09
1167,640.69
1168,666.38
1169,650.6
1170,648.48
1171,648.28
1172,664.8
1173,652.92
1174,659.17
1175,663.78
1176,661.99
1177,679.81
1178,672.74
1179,672.81
1180,665.23
1181,664.92
1182,650.73
1183,655.41
1184,661.26
1185,654.23
1186,651.63
1187,654.49
1188,655.11
1189,657.01
1190,655.1
1191,624.6
1192,606.4
1193,548.66
1194,566.33
1195,578.28
1196,575.03
1197,587.77
1198,592.74
1199,591.04
1200,587.65
1201,592.12
1202,588.8
1203,587.36
1204,585.59
1205,570.49
1206,567.24
1207,577.76
1208,573.71
1209,574.34
1210,576.08
1211,581.94
1212,581.31
1213,586.77
1214,583.41
1215,580.18
1216,577.75
1217,579.45
1218,569.83
1219,574.07
1220,574.11
1221,577.59
1222,575.55
1223,572.41
1224,575.55
1225,598.59
1226,608.99
1227,606.51
1228,610.57
1229,614.64
1230,626.35
1231,622.93
1232,623.42
1233,607.01
